Karyotype;Label;Average
3RK;Wing_M_3RK_4_2_MMStack_Pos0.ome.tif;0.755
3RK;Wing_M_3RK_9_1_MMStack_Pos0.ome.tif;0.8065
3RK;Wing_M_3RK_9_2_MMStack_Pos0.ome.tif;0.7855
3RK;Wing_M_3RK_10_1_MMStack_Pos0.ome.tif;0.78
3RK;Wing_M_3RK_10_2_MMStack_Pos0.ome.tif;0.7835
3RK;Wing_M_3RK_12_1_MMStack_Pos0.ome.tif;0.7695
3RK;Wing_M_3RK_12_2_MMStack_Pos0.ome.tif;0.834
3RK;Wing_M_3RK_13_1_MMStack_Pos0.ome.tif;0.7655
3RK;Wing_M_3RK_13_2_MMStack_Pos0.ome.tif;0.7835
3RK;Wing_M_3RK_14_1_MMStack_Pos0.ome.tif;0.7965
3RK;Wing_M_3RK_14_2_MMStack_Pos0.ome.tif;0.8235
3RK;Wing_M_3RK_19_1_MMStack_Pos0.ome.tif;0.7415
3RK;Wing_M_3RK_19_2_MMStack_Pos0.ome.tif;0.762
3RK;Wing_M_3RK_20_1_MMStack_Pos0.ome.tif;0.7985
3RK;Wing_M_3RK_20_2_MMStack_Pos0.ome.tif;0.7705
3RK_HET_1;Wing_M_3RKHET1_1_1_MMStack_Pos0.ome.tif;0.7395
3RK_HET_1;Wing_M_3RKHET1_1_2_MMStack_Pos0.ome.tif;0.736
3RK_HET_1;Wing_M_3RKHET1_2_1_MMStack_Pos0.ome.tif;0.761
3RK_HET_1;Wing_M_3RKHET1_2_2_MMStack_Pos0.ome.tif;0.7565
3RK_HET_1;Wing_M_3RKHET1_3_1_MMStack_Pos0.ome.tif;0.8265
3RK_HET_1;Wing_M_3RKHET1_3_2_MMStack_Pos0.ome.tif;0.698
3RK_HET_1;Wing_M_3RKHET1_4_1_MMStack_Pos0.ome.tif;0.7425
3RK_HET_1;Wing_M_3RKHET1_4_2_MMStack_Pos0.ome.tif;0.7995
3RK_HET_1;Wing_M_3RKHET1_7_1_MMStack_Pos0.ome.tif;0.7115
3RK_HET_1;Wing_M_3RKHET1_7_2_MMStack_Pos0.ome.tif;0.701
3RK_HET_1;Wing_M_3RKHET1_9_1_MMStack_Pos0.ome.tif;0.6885
3RK_HET_1;Wing_M_3RKHET1_9_2_MMStack_Pos0.ome.tif;0.776
3RK_HET_1;Wing_M_3RKHET1_12_1_MMStack_Pos0.ome.tif;0.809
3RK_HET_1;Wing_M_3RKHET1_12_2_MMStack_Pos0.ome.tif;0.696
3RK_HET_1;Wing_M_3RKHET1_13_1_MMStack_Pos0.ome.tif;0.8035
3RK_HET_1;Wing_M_3RKHET1_13_2_MMStack_Pos0.ome.tif;0.753
3RK_HET_1;Wing_M_3RKHET1_14_1_MMStack_Pos0.ome.tif;0.767
3RK_HET_1;Wing_M_3RKHET1_14_2_MMStack_Pos0.ome.tif;0.762
3RK_HET_1;Wing_M_3RKHET1_19_1_MMStack_Pos0.ome.tif;0.726
3RK_HET_1;Wing_M_3RKHET1_19_2_MMStack_Pos0.ome.tif;0.81
3RK_HET_1;Wing_M_3RKHET1_20_1_MMStack_Pos0.ome.tif;0.8165
3RK_HET_1;Wing_M_3RKHET1_20_2_MMStack_Pos0.ome.tif;0.7665
3RK_HET_2;Wing_M_3RKHET2_1_1_MMStack_Pos0.ome.tif;0.7805
3RK_HET_2;Wing_M_3RKHET2_1_2_MMStack_Pos0.ome.tif;0.74
3RK_HET_2;Wing_M_3RKHET2_2_1_MMStack_Pos0.ome.tif;0.758
3RK_HET_2;Wing_M_3RKHET2_2_2_MMStack_Pos0.ome.tif;0.6795
3RK_HET_2;Wing_M_3RKHET2_3_1_MMStack_Pos0.ome.tif;0.687
3RK_HET_2;Wing_M_3RKHET2_3_2_MMStack_Pos0.ome.tif;0.7555
3RK_HET_2;Wing_M_3RKHET2_4_1_MMStack_Pos0.ome.tif;0.7785
3RK_HET_2;Wing_M_3RKHET2_4_2_MMStack_Pos0.ome.tif;0.71
