Karyotype;Label;Average
3RK;Leg_M_3RK_4_2_MMStack_Pos0.ome.tif;0.539
3RK;Leg_M_3RK_9_1_MMStack_Pos0.ome.tif;0.5415
3RK;Leg_M_3RK_9_2_MMStack_Pos0.ome.tif;0.524
3RK;Leg_M_3RK_10_1_MMStack_Pos0.ome.tif;0.5465
3RK;Leg_M_3RK_10_2_MMStack_Pos0.ome.tif;0.523
3RK;Leg_M_3RK_12_1_MMStack_Pos0.ome.tif;0.554
3RK;Leg_M_3RK_12_2_MMStack_Pos0.ome.tif;0.545
3RK;Leg_M_3RK_13_1_MMStack_Pos0.ome.tif;0.5365
3RK;Leg_M_3RK_13_2_MMStack_Pos0.ome.tif;0.538
3RK;Leg_M_3RK_14_1_MMStack_Pos0.ome.tif;0.5325
3RK;Leg_M_3RK_14_2_MMStack_Pos0.ome.tif;0.5405
3RK;Leg_M_3RK_19_1_MMStack_Pos0.ome.tif;0.5305
3RK;Leg_M_3RK_19_2_MMStack_Pos0.ome.tif;0.534
3RK;Leg_M_3RK_20_1_MMStack_Pos0.ome.tif;0.5205
3RK;Leg_M_3RK_20_2_MMStack_Pos0.ome.tif;0.5405
3RK_HET_1;Leg_M_3RKHET1_1_1_MMStack_Pos0.ome.tif;0.5285
3RK_HET_1;Leg_M_3RKHET1_1_2_MMStack_Pos0.ome.tif;0.5295
3RK_HET_1;Leg_M_3RKHET1_2_1_MMStack_Pos0.ome.tif;0.5395
3RK_HET_1;Leg_M_3RKHET1_2_2_MMStack_Pos0.ome.tif;0.541
3RK_HET_1;Leg_M_3RKHET1_3_1_MMStack_Pos0.ome.tif;0.556
3RK_HET_1;Leg_M_3RKHET1_3_2_MMStack_Pos0.ome.tif;0.5265
3RK_HET_1;Leg_M_3RKHET1_4_1_MMStack_Pos0.ome.tif;0.5475
3RK_HET_1;Leg_M_3RKHET1_7_1_MMStack_Pos0.ome.tif;0.538
3RK_HET_1;Leg_M_3RKHET1_7_2_MMStack_Pos0.ome.tif;0.527
3RK_HET_1;Leg_M_3RKHET1_9_1_MMStack_Pos0.ome.tif;0.525
3RK_HET_1;Leg_M_3RKHET1_9_2_MMStack_Pos0.ome.tif;0.5435
3RK_HET_1;Leg_M_3RKHET1_12_1_MMStack_Pos0.ome.tif;0.5495
3RK_HET_1;Leg_M_3RKHET1_12_2_MMStack_Pos0.ome.tif;0.521
3RK_HET_1;Leg_M_3RKHET1_13_1_MMStack_Pos0.ome.tif;0.5405
3RK_HET_1;Leg_M_3RKHET1_13_2_MMStack_Pos0.ome.tif;0.538
3RK_HET_1;Leg_M_3RKHET1_14_1_MMStack_Pos0.ome.tif;0.5245
3RK_HET_1;Leg_M_3RKHET1_14_2_MMStack_Pos0.ome.tif;0.534
3RK_HET_1;Leg_M_3RKHET1_19_1_MMStack_Pos0.ome.tif;0.5395
3RK_HET_1;Leg_M_3RKHET1_19_2_MMStack_Pos0.ome.tif;0.5605
3RK_HET_1;Leg_M_3RKHET1_20_1_MMStack_Pos0.ome.tif;0.547
3RK_HET_1;Leg_M_3RKHET1_20_2_MMStack_Pos0.ome.tif;0.542
3RK_HET_2;Leg_M_3RKHET2_1_1_MMStack_Pos0.ome.tif;0.5365
3RK_HET_2;Leg_M_3RKHET2_1_2_MMStack_Pos0.ome.tif;0.5245
